Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
aberration;3004;151;21;2,15548063359821;325,47757567333;0,0502663115845539280958721704;0,006990679094540612516644474;0,0003513956535538057556635538
absorb;3004;173;39;1,88663532130563;326,387910585874;0,0575898801597869507323568575;0,0129826897470039946737683089;0,0007476715466816548197609579
abut;3004;234;66;1,65815599279026;388,008502312921;0,0778961384820239680426098535;0,0219707057256990679094540613;0,0017114331357568514949441579
acceleration;3004;212;36;1,92139742756484;407,336254643747;0,0705725699067909454061251664;0,0119840213049267643142476698;0,0008457431813064161233756678
accelerometer;3004;61;16;2,27357994567621;138,688376686249;0,020306258322237017310252996;0,0053262316910785619174434088;0,0001081558366031265902010812
accept;3004;206;57;1,72182507265964;354,695964967886;0,0685752330226364846870838881;0,0189747003994673768308921438;0,0013011945014281889571117782
access;3004;305;86;1,54320147708856;470,676450512012;0,10153129161118508655126498;0,0286284953395472703062583222;0,0029066881087090271116540574
accessory;3004;388;29;2,01530193043317;781,937149008072;0,1291611185086551264980026631;0,0096537949400798934753661784;0,0012468949523139143370313173
accommodate;3004;326;111;1,43237694954547;466,954885551824;0,1085219707057256990679094541;0,0369507323568575233022636485;0,0040099662943860028616970537
accumulate;3004;405;66;1,65815599279026;671,553177080056;0,134820239680426098535286285;0,0219707057256990679094540613;0,0029620958118868583566341194
accumulation;3004;158;29;2,01530193043317;318,417705008442;0,0525965379494007989347536618;0,0096537949400798934753661784;0,000507756191921645528997289
achieve;3004;241;112;1,42848190566195;344,26413926453;0,0802263648468708388814913449;0,0372836218375499334221038615;0,002991129448352041929003672
acquisition;3004;503;97;1,49092819406589;749,936881615141;0,1674434087882822902796271638;0,0322902796271637816245006658;0,0054067944914991285476444191
action;3004;330;66;1,65815599279026;547,191477620786;0,1098535286284953395472703063;0,0219707057256990679094540613;0,0024135595504263290313315047
activate;3004;431;115;1,41700208797852;610,727899918742;0,1434753661784287616511318242;0,0382822902796271637816245007;0,0054925656160184113148735552
activation;3004;104;38;1,89791633171532;197,383298498393;0,0346205059920106524633821571;0,0126498002663115845539280959;0,0004379424859175781603224108
activity;3004;248;24;2,09748868662052;520,17719428189;0,0825565912117177097203728362;0,0079893475366178428761651132;0,0006595732986289031402426591
actuate;3004;374;85;1,54828100261784;579,057094979071;0,1245006657789613848202396804;0,0282956058588548601864181092;0,0035228217680465105558323478
actuation;3004;162;28;2,03054189698991;328,947787312366;0,053928095872170439414114514;0,0093209054593874833555259654;0,0005026586832292850544591233
actuator;3004;1065;116;1,41324193910521;1505,10266514705;0,3545272969374167776298268975;0,0386151797603195739014647137;0,0136901353011785440096737417
adapt;3004;1513;333;0,955255694825811;1445,30186627145;0,5036617842876165113182423435;0,1108521970705725699067909454;0,0558320153687670766541194076
adapter;3004;444;43;1,84423147275254;818,83877390213;0,1478029294274300932090545939;0,0143142476697736351531291611;0,0021156877381423082583186909
adaptor;3004;93;10;2,47769992833213;230,426093334888;0,0309587217043941411451398136;0,0033288948069241011984021305;0,0001030583279107661156629155
addition;3004;260;109;1,44027343039151;374,471091901792;0,0865512649800266311584553928;0,0362849533954727030625832224;0,0031405086161194749654699194
address;3004;658;65;1,66478657168928;1095,42956417154;0,2190412782956058588548601864;0,0216378162450066577896138482;0,0047395749298316846955945114
adhesive;3004;379;87;1,53818067571351;582,970476095421;0,1261651131824234354194407457;0,0289613848202396804260985353;0,0036539163937652592814551747
adjacent;3004;1251;366;0,91421884293772;1143,68777251509;0,4164447403462050599201065246;0,121837549933422103861517976;0,0507386068464417616280822197
adjust;3004;2635;491;0,786618436209162;2072,73957941114;0,8771637816245006657789613848;0,1634487350199733688415446072;0,1433713105118607945730592676
adjustable;3004;490;117;1,40951406658597;690,661892627125;0,1631158455392809587217043941;0,0389480692410119840213049268;0,0063530472463701305494139195
adjustment;3004;1516;215;1,14526146841653;1736,21638611945;0,5046604527296937416777629827;0,0715712383488681757656458056;0,0361191735475646319776028766
aerial;3004;12;2;3,17666993266815;38,1200391920178;0,0039946737683089214380825566;0,0006657789613848202396804261;0,000002659569752535899759043
aircraft;3004;72;15;2,30160866927645;165,715824187904;0,0239680426098535286284953395;0,0049933422103861517976031957;0,0001196806388641154891569341
alert;3004;115;16;2,27357994567621;261,461693752764;0,0382822902796271637816245007;0,0053262316910785619174434088;0,0002039003476944189815266285
algorithm;3004;290;76;1,59688633605134;463,097037454888;0,0965379494007989347536617843;0,0252996005326231691078561917;0,002442371556078801278721137
align;3004;705;235;1,10663206606039;780,175606572578;0,2346870838881491344873501997;0,0782290279627163781624500666;0,0183593424479743830241435742
alignment;3004;516;89;1,52830992168722;788,607919590604;0,1717709720372836218375499334;0,0296271637816245006657789614;0,005089086721477444188928743
allow;3004;1081;421;0,853417832496462;922,544676928676;0,3598535286284953395472703063;0,1401464713715046604527296937;0,0504322022478683548433424763
ambient;3004;250;47;1,80560207039641;451,400517599103;0,0832223701731025299600532623;0,0156458055925432756324900133;0,0013020810246790342570314592
amount;3004;2555;399;0,876727032645382;2240,03756840895;0,8505326231691078561917443409;0,1328229027962716378162450067;0,1129702119322483470773987989
amplifier;3004;437;54;1,74530616850916;762,698795638504;0,1454727030625832223701731025;0,0179760319573901464713715047;0,0026150219591809234380790105
amplify;3004;369;63;1,67835937887855;619,314610806185;0,1228362183754993342210386152;0,0209720372836218375499334221;0,0025761257515500859041030069
amplitude;3004;132;23;2,11597209231454;279,308316185519;0,0439414114513981358189081225;0,0076564580559254327563249001;0,000336435573695791319518937
