Term	S	tf	df	idf	tf-idf*	tf/S	df/S	(tf*df)/S^2
aberration	4507	227	61	1,868557723	424,1626031	0,050366097	0,013534502	0,00068168
absorb	4507	246	58	1,890459565	465,0530529	0,054581762	0,012868871	0,000702406
abut	4507	225	75	1,778826295	400,2359163	0,049922343	0,016640781	0,000830747
acceleration	4507	261	60	1,875736308	489,5671763	0,057909918	0,013312625	0,000770933
accelerometer	4507	313	93	1,68540461	527,5316428	0,069447526	0,020634568	0,00143302
accept	4507	199	71	1,802629209	358,7232127	0,044153539	0,015753273	0,000695563
access	4507	1060	233	1,286531637	1363,723535	0,235189705	0,05169736	0,012158687
accessory	4507	1248	82	1,740073706	2171,611985	0,276902596	0,018193921	0,005037944
accommodate	4507	787	232	1,288399573	1013,970464	0,174617262	0,051475483	0,008988508
accumulate	4507	298	72	1,796555062	535,3734084	0,06611937	0,01597515	0,001056267
accumulation	4507	425	26	2,23891421	951,5385393	0,094297759	0,005768804	0,000543985
achieve	4507	206	97	1,667115824	343,4258597	0,045706679	0,021522077	0,000983703
acquisition	4507	723	128	1,546677588	1118,247896	0,160417129	0,028400266	0,004555889
action	4507	856	130	1,539944206	1318,19224	0,189926781	0,02884402	0,005478252
activate	4507	1344	267	1,227376297	1649,593743	0,298202796	0,05924118	0,017665886
activation	4507	505	97	1,667115824	841,893491	0,112047925	0,021522077	0,002411504
activity	4507	196	51	1,946317382	381,4782069	0,043487908	0,011315731	0,000492097
actuate	4507	364	104	1,636854219	595,8149356	0,080763257	0,023075216	0,00186363
actuation	4507	260	59	1,883035546	489,5892421	0,057688041	0,013090748	0,00075518
actuator	4507	2884	245	1,264721474	3647,45673	0,639893499	0,054359885	0,034784537
adapt	4507	1468	327	1,139339805	1672,550834	0,325715554	0,072553805	0,023631903
adapter	4507	858	69	1,815038467	1557,303005	0,190370535	0,015309519	0,002914481
adaptor	4507	152	16	2,449767575	372,3646715	0,033725316	0,003550033	0,000119726
addition	4507	265	115	1,593189718	422,1952752	0,058797426	0,025515864	0,001500267
address	4507	346	68	1,821378645	630,1970113	0,07676947	0,015087641	0,00115827
adhesive	4507	1297	178	1,403467556	1820,29742	0,287774573	0,03949412	0,011365404
adjacent	4507	1938	537	0,923913272	1790,543922	0,429997781	0,119147992	0,051233372
adjust	4507	4044	723	0,794749261	3213,966011	0,897270912	0,160417129	0,143937624
adjustable	4507	757	178	1,403467556	1062,42494	0,16796095	0,03949412	0,00663347
adjustment	4507	2004	298	1,179671294	2364,061273	0,444641669	0,06611937	0,029399427
aerial	4507	509	42	2,030638268	1033,594878	0,112935434	0,009318837	0,001052427
aircraft	4507	298	28	2,206729527	657,605399	0,06611937	0,006212558	0,00041077
alert	4507	380	64	1,847707584	702,128882	0,08431329	0,014200133	0,00119726
algorithm	4507	815	171	1,420891448	1158,02653	0,18082982	0,037940981	0,006860861
align	4507	1825	475	0,977193948	1783,378956	0,404925671	0,105391613	0,04267577
alignment	4507	1237	196	1,361631487	1684,338149	0,274461948	0,043487908	0,011935776
allow	4507	1535	636	0,850430442	1305,410729	0,340581318	0,141113823	0,048060732
ambient	4507	384	77	1,767396833	678,6803838	0,085200799	0,017084535	0,001455616
amount	4507	2734	449	1,001641217	2738,487087	0,606611937	0,099622809	0,060432385
amplifier	4507	557	65	1,840974201	1025,42263	0,123585534	0,01442201	0,001782352
amplify	4507	299	62	1,861495869	556,5872647	0,066341247	0,013756379	0,000912615
amplitude	4507	138	32	2,14873758	296,525786	0,030619037	0,007100067	0,000217397
analog	4507	490	80	1,750797571	857,8908098	0,108719769	0,017750166	0,001929794
analysis	4507	877	176	1,40837489	1235,144779	0,194586199	0,039050366	0,007598662
analyze	4507	1132	291	1,189994569	1347,073852	0,251164855	0,06456623	0,016216768
angle	4507	6336	818	0,741134254	4695,826636	1,405813179	0,181495452	0,255148698
angular	4507	848	143	1,498551521	1270,771689	0,188151764	0,031728422	0,005969759
annular	4507	436	63	1,854547009	808,5824958	0,096738407	0,013978256	0,001352234
antenna	4507	757	65	1,840974201	1393,61747	0,16796095	0,01442201	0,002422335
